country,quarter,house_price_index
IT,2012Q3,92.2332
IT,2012Q4,90.3468
IT,2013Q1,87.5561
IT,2013Q2,87.1034
IT,2013Q3,85.4635
IT,2013Q4,84.5976
IT,2014Q1,83.3345
IT,2014Q2,82.3944
IT,2014Q3,81.5
IT,2014Q4,80.411
IT,2015Q1,78.8008
IT,2015Q2,78.4902
IT,2015Q3,79.1463
IT,2015Q4,78.6346
IT,2016Q1,78.9544
IT,2016Q2,79.3485
IT,2016Q3,79.1592
IT,2016Q4,78.6924
IT,2017Q1,77.3648
IT,2017Q2,77.4725
IT,2017Q3,77.1116
IT,2017Q4,77.0275
IT,2018Q1,76.417
IT,2018Q2,76.4575
IT,2018Q3,75.3734
IT,2018Q4,75.5673
IT,2019Q1,75.0073
IT,2019Q2,75.738
IT,2019Q3,75.41
IT,2019Q4,75.4981
IT,2020Q1,76.088
IT,2020Q2,78.3595
IT,2020Q3,76.5432
IT,2020Q4,76.8251
IT,2021Q1,76.9429
IT,2021Q2,77.733
IT,2021Q3,77.9923
IT,2021Q4,77.1593
IT,2022Q1,76.1277
IT,2022Q2,76.4556
IT,2022Q3,74.0357
IT,2022Q4,70.9097
IT,2023Q1,70.6321
IT,2023Q2,71.6522
IT,2023Q3,71.3085
IT,2023Q4,71.4691
IT,2024Q1,71.0974
IT,2024Q2,73.1693
IT,2024Q3,73.2473
IT,2024Q4,73.7615
IT,2025Q1,73.0279
IT,2025Q2,74.7634
IT,2025Q3,74.7822
IT,2025Q4,75.8755
NL,2002Q1,95.3911
NL,2002Q2,95.7928
NL,2002Q3,97.2005
NL,2002Q4,96.7853
NL,2003Q1,97.0962
NL,2003Q2,97.4103
NL,2003Q3,97.9999
NL,2003Q4,98.7768
NL,2004Q1,99.8504
NL,2004Q2,100.0612
NL,2004Q3,101.3591
NL,2004Q4,101.4041
NL,2005Q1,102.0106
NL,2005Q2,102.3204
NL,2005Q3,103.4629
NL,2005Q4,103.6307
NL,2006Q1,105.0727
NL,2006Q2,105.3394
NL,2006Q3,106.4634
NL,2006Q4,107.4426
NL,2007Q1,108.3441
NL,2007Q2,107.9332
NL,2007Q3,110.4959
NL,2007Q4,111.0265
NL,2008Q1,110.1883
NL,2008Q2,108.802
NL,2008Q3,109.7196
NL,2008Q4,107.8659
NL,2009Q1,106.2747
NL,2009Q2,102.0973
NL,2009Q3,102.1052
NL,2009Q4,101.7482
NL,2010Q1,101.0205
NL,2010Q2,99.7221
NL,2010Q3,100.1248
NL,2010Q4,99.1458
NL,2011Q1,98.6844
NL,2011Q2,95.9653
NL,2011Q3,95.1071
NL,2011Q4,93.3928
NL,2012Q1,91.0997
NL,2012Q2,88.5681
NL,2012Q3,84.6906
NL,2012Q4,84.5512
NL,2013Q1,81.6936
NL,2013Q2,79.2639
NL,2013Q3,79.3424
NL,2013Q4,79.562
NL,2014Q1,79.7998
NL,2014Q2,79.4832
NL,2014Q3,79.6215
NL,2014Q4,80.4589
NL,2015Q1,81.6362
NL,2015Q2,81.2001
NL,2015Q3,82.3533
NL,2015Q4,83.4322
NL,2016Q1,84.7278
NL,2016Q2,85.0854
NL,2016Q3,86.9312
NL,2016Q4,88.153
NL,2017Q1,89.6685
NL,2017Q2,90.557
NL,2017Q3,92.6885
NL,2017Q4,94.7414
NL,2018Q1,96.6843
NL,2018Q2,97.5739
NL,2018Q3,99.6997
NL,2018Q4,101.1537
NL,2019Q1,102.1897
NL,2019Q2,102.4188
NL,2019Q3,103.3035
NL,2019Q4,104.9487
NL,2020Q1,107.4667
NL,2020Q2,109.1406
NL,2020Q3,110.7603
NL,2020Q4,112.8903
NL,2021Q1,116.5295
NL,2021Q2,120.3924
NL,2021Q3,125.9581
NL,2021Q4,127.7308
NL,2022Q1,129.0916
NL,2022Q2,129.841
NL,2022Q3,125.7396
NL,2022Q4,121.3061
NL,2023Q1,121.1682
NL,2023Q2,117.9282
NL,2023Q3,118.0294
NL,2023Q4,120.5153
NL,2024Q1,121.9622
NL,2024Q2,123.3785
NL,2024Q3,125.793
NL,2024Q4,128.5809
NL,2025Q1,130.487
NL,2025Q2,130.7001
NL,2025Q3,131.8578
NL,2025Q4,132.5948
PT,2002Q1,120.052
PT,2002Q2,118.459
PT,2002Q3,117.3813
PT,2002Q4,116.104
PT,2003Q1,116.1087
PT,2003Q2,115.4209
PT,2003Q3,115.7929
PT,2003Q4,114.8392
PT,2004Q1,114.8505
PT,2004Q2,113.2547
PT,2004Q3,113.5898
PT,2004Q4,112.6822
PT,2005Q1,112.6295
PT,2005Q2,113.0473
PT,2005Q3,114.7814
PT,2005Q4,113.8377
PT,2006Q1,113.4216
PT,2006Q2,112.212
PT,2006Q3,112.274
PT,2006Q4,112.0193
PT,2007Q1,112.2447
PT,2007Q2,109.8157
PT,2007Q3,111.0735
PT,2007Q4,108.0422
PT,2008Q1,103.3859
PT,2008Q2,101.9253
PT,2008Q3,99.3672
PT,2008Q4,98.2116
PT,2009Q1,100.0276
PT,2009Q2,100.2976
PT,2009Q3,101.0263
PT,2009Q4,101.1617
PT,2010Q1,101.6861
PT,2010Q2,100.725
PT,2010Q3,99.6734
PT,2010Q4,97.9586
PT,2011Q1,95.945
PT,2011Q2,92.6038
PT,2011Q3,91.332
PT,2011Q4,87.2035
PT,2012Q1,85.1988
PT,2012Q2,82.6223
