country,quarter,house_price_index,rent_index,leverage_ratio,ecb_shock,price_rent_ratio,log_house_price,log_rent,log_price_rent_ratio
FI,2012Q4,99.2816,78.03333333333333,103.75,0.00919029,1.272297308842375,4.5979602568019455,4.357136085828755,0.24082417097318973
FI,2013Q1,99.5415,78.71333333333332,103.43,-0.0012058899999999,1.2646078597442196,4.600574642635734,4.365812560810854,0.23476208182487995
FI,2013Q2,99.303,79.39333333333333,103.94,0.05196265,1.2507725249811068,4.598175782075132,4.37441440167174,0.22376138040339186
FI,2013Q3,99.1486,79.82,104.24,-0.06975126,1.2421523427712353,4.596619734845945,4.379774099620588,0.2168456352253573
FI,2013Q4,98.217,80.28666666666668,104.13,-0.0107668199999999,1.2233289047579505,4.587179316467172,4.385603563164224,0.20157575330294789
FI,2014Q1,98.0463,80.88666666666667,104.77,0.05823669,1.2121441523118768,4.5854398160812835,4.393048997955617,0.1923908181256664
FI,2014Q2,98.199,81.85000000000001,105.57,-0.055573,1.1997434331093462,4.586996032009181,4.404888303817144,0.182107728192037
FI,2014Q3,97.5806,82.40666666666667,106.09,-0.08136055,1.1841347787395842,4.580678703169771,4.411666339791568,0.16901236337820374
FI,2014Q4,96.9307,82.95,105.83,0.07325807,1.1685437010247137,4.573996290184827,4.418238016636454,0.15575827354837277
FI,2015Q1,97.5758,83.53,105.69,-0.01886947,1.1681527594876093,4.580629511854488,4.425205848767815,0.1554236630866731
FI,2015Q2,98.2222,84.32333333333334,106.42,0.00741236,1.1648282405028263,4.587232259057054,4.434658615953494,0.1525736431035599
FI,2015Q3,98.2029,84.83333333333333,107.06,-0.03315962,1.1575980353634578,4.5870357464926,4.440688547322468,0.14634719917013247
FI,2015Q4,97.5637,85.21333333333332,107.82,0.09065469,1.144934673759975,4.580505498007824,4.445157916113971,0.13534758189385304
FI,2016Q1,98.5894,85.60666666666667,107.64,-0.02058062,1.1516556342963944,4.590963750758512,4.449763161735018,0.1412005890234933
